Part,Value,Part Number Suggested,LCSC JLCPCB Library,Quantity,Description,15V → 5V
L1,68 µH,VLP8040T-470M,Aliexpres,1,L: 68 µH  DCR: 160 mΩ  IDC: 1.5 A  ,
U1,Regulator,TPS5430DDAR,C9864,1,,
Cout,100 uF,TPSD157M010R0100,Aliexpres,1,Cap: 100 µF  Total Derated Cap: 150 µF  VDC: 10 V  ESR: 100 mΩ  Package: D  ,
D1,,SS14FL,C2480,1,Type: Schottky  VRRM: 40 V  Io: 1 A  ,
Cin,10 uF,MSAST21GBB5106MTNA01,C96446,2,Cap: 10 µF  Total Derated Cap: 5.6 µF  VDC: 25 V  ESR: 5.46 mΩ  Package: 0805  ,
Rfbb,3.3kO,CRCW04023K24FKED,C22978,1,Resistance: 3.24 kΩ  Tolerance: 1.0%  Power: 63 mW  ,
Rfbt,10kO,RC0201FR-0710KL,C25804,1,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  ,
Cboot,10 nF,GRM155R71H103KA88D,C15195,1,Cap: 10 nF  Total Derated Cap: 10 nF  VDC: 50 V  ESR: 1 mΩ  Package: 0402  ,
,,,,,,
,,,,,,
Part,Value,Part Number Suggested,LCSC JLCPCB Library,Quantity,Description,15V → 12V
L1,22 µH,NPI34W220MTRF,Aliexpres,1,L: 22 µH  DCR: 66 mΩ  IDC: 2.9 A  ,
U1,Regulator,TPS5430DDAR,C9864,1,,
Cout,100 µF,TPSD107K020R0085,Aliexpres,1,Cap: 100 µF  Total Derated Cap: 100 µF  VDC: 20 V  ESR: 85 mΩ  Package: D  ,
D1,,SS14FL,C2480,1,Type: Schottky  VRRM: 40 V  Io: 1 A  ,
Cin,22 µF,GRM32ER61E226KE15L,C59461,2,Cap: 22 µF  Total Derated Cap: 16 µF  VDC: 25 V  ESR: 2 mΩ  Package: 1210  ,
Rfbb,1.1kO,CRCW04021K13FKED,C22764,1,Resistance: 1.13 kΩ  Tolerance: 1.0%  Power: 63 mW  ,
Rfbt,10kO,RC0201FR-0710KL,C25804,1,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  ,
Cboot,10 nF,GRM155R71H103KA88D,C15195,1,Cap: 10 nF  Total Derated Cap: 10 nF  VDC: 50 V  ESR: 1 mΩ  Package: 0402  ,
